Komoditas (Rp),Tanggal,Harga,Wilayah,Bulan,Tahun,Hari_Dalam_Minggu,Musim_Hujan,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh,Hujan_Lag30,Hujan_Lag60,Suhu_Lag30,Suhu_Lag60,Rata_Hujan_30Hari,Rata_Suhu_30Hari,Harga_Kemarin,Harga_Minggu_Lalu
Bawang Merah,2020-03-26,31000.0,Bukittinggi,3,2020,3,1,21.1,20.1,16.55,10.9,26.6,0.7,21.2,20.7,8.666666666666666,21.186666666666667,31000.0,31000.0
Bawang Merah,2020-03-27,33500.0,Bukittinggi,3,2020,4,1,21.3,5.6,19.03,9.7,23.9,4.0,21.0,20.8,8.056666666666667,21.196666666666665,31000.0,31000.0
Bawang Merah,2020-03-30,33500.0,Bukittinggi,3,2020,0,1,21.8,21.6,18.1,12.0,12.8,1.1,20.9,20.9,8.35,21.226666666666667,33500.0,32750.0
Bawang Merah,2020-03-31,36000.0,Bukittinggi,3,2020,1,1,21.2,2.0,16.47,6.5,10.5,7.6,20.7,20.8,8.066666666666666,21.243333333333332,33500.0,32250.0
Bawang Merah,2020-04-01,36000.0,Bukittinggi,4,2020,2,0,21.0,13.2,16.34,8.2,7.7,1.0,19.6,20.9,8.25,21.290000000000003,36000.0,31000.0
Bawang Merah,2020-04-02,34750.0,Bukittinggi,4,2020,3,0,21.6,8.4,18.06,7.3,3.1,13.7,20.8,20.9,8.426666666666666,21.316666666666666,36000.0,31000.0
Bawang Merah,2020-04-03,34750.0,Bukittinggi,4,2020,4,0,20.8,3.1,10.98,11.3,7.9,25.5,20.5,20.3,8.266666666666667,21.326666666666664,34750.0,31000.0
Bawang Merah,2020-04-06,34250.0,Bukittinggi,4,2020,0,0,20.3,6.4,7.56,16.5,2.8,5.1,20.9,20.7,8.386666666666667,21.30666666666667,34750.0,31000.0
Bawang Merah,2020-04-07,34250.0,Bukittinggi,4,2020,1,0,21.2,2.0,16.41,10.9,0.7,4.9,21.5,20.5,8.43,21.296666666666667,34250.0,33500.0
Bawang Merah,2020-04-08,34250.0,Bukittinggi,4,2020,2,0,21.3,6.0,16.62,9.4,1.1,3.7,21.6,21.0,8.593333333333334,21.28666666666667,34250.0,33500.0
Bawang Merah,2020-04-09,33500.0,Bukittinggi,4,2020,3,0,20.9,3.1,17.02,13.4,1.0,1.1,21.6,21.6,8.663333333333332,21.263333333333332,34250.0,36000.0
Bawang Merah,2020-04-10,33500.0,Bukittinggi,4,2020,4,0,20.9,5.0,13.98,8.7,1.2,22.6,21.6,20.9,8.79,21.240000000000002,33500.0,36000.0
Bawang Merah,2020-04-13,33500.0,Bukittinggi,4,2020,0,0,21.5,10.5,17.51,8.1,3.7,4.2,21.6,20.6,9.016666666666667,21.236666666666668,33500.0,34750.0
Bawang Merah,2020-04-14,33500.0,Bukittinggi,4,2020,1,0,21.0,6.1,14.26,11.5,2.3,6.3,21.3,20.7,9.143333333333334,21.226666666666667,33500.0,34750.0
Bawang Merah,2020-04-15,33500.0,Bukittinggi,4,2020,2,0,21.1,4.7,15.43,8.9,1.1,6.2,21.7,20.7,9.263333333333332,21.206666666666667,33500.0,34250.0
Bawang Merah,2020-04-16,33500.0,Bukittinggi,4,2020,3,0,20.9,22.1,13.53,7.0,41.4,5.5,21.5,20.8,8.620000000000001,21.186666666666667,33500.0,34250.0
Bawang Merah,2020-04-17,36000.0,Bukittinggi,4,2020,4,0,21.4,3.3,17.37,10.9,1.7,2.0,21.2,21.1,8.673333333333336,21.19333333333333,33500.0,34250.0
Bawang Merah,2020-04-20,36000.0,Bukittinggi,4,2020,0,0,21.5,2.0,19.65,14.2,0.1,7.1,22.1,21.5,8.736666666666668,21.173333333333332,36000.0,33500.0
Bawang Merah,2020-04-21,36000.0,Bukittinggi,4,2020,1,0,22.0,3.2,21.48,13.4,0.0,17.9,21.8,21.0,8.843333333333334,21.18,36000.0,33500.0
Bawang Merah,2020-04-22,36000.0,Bukittinggi,4,2020,2,0,21.8,18.4,14.8,9.0,0.4,13.9,22.2,19.5,9.443333333333333,21.166666666666668,36000.0,33500.0
Bawang Merah,2020-04-23,37250.0,Bukittinggi,4,2020,3,0,21.1,16.5,13.7,9.7,17.4,0.4,21.6,21.2,9.413333333333332,21.15,36000.0,33500.0
Bawang Merah,2020-04-24,37250.0,Bukittinggi,4,2020,4,0,21.5,7.1,16.89,11.1,2.1,0.6,21.5,20.7,9.580000000000002,21.15,37250.0,33500.0
Bawang Merah,2020-04-27,38500.0,Bukittinggi,4,2020,0,0,21.4,1.6,11.06,10.1,4.7,3.5,21.0,20.6,9.476666666666667,21.163333333333338,37250.0,33500.0
Bawang Merah,2020-04-28,38500.0,Bukittinggi,4,2020,1,0,21.2,6.4,11.07,9.8,10.1,0.1,20.8,20.5,9.353333333333333,21.176666666666666,38500.0,36000.0
Bawang Merah,2020-04-29,38500.0,Bukittinggi,4,2020,2,0,21.8,1.7,18.35,12.3,17.2,2.8,21.1,20.6,8.836666666666668,21.2,38500.0,36000.0
Bawang Merah,2020-04-30,38500.0,Bukittinggi,4,2020,3,0,21.2,5.6,9.3,9.0,15.5,11.0,20.6,20.5,8.506666666666668,21.220000000000002,38500.0,36000.0
Bawang Merah,2020-05-01,32000.0,Bukittinggi,5,2020,4,0,20.1,20.4,5.25,22.7,6.4,27.5,21.1,20.4,8.973333333333333,21.186666666666667,38500.0,36000.0
Bawang Merah,2020-05-04,42500.0,Bukittinggi,5,2020,0,0,22.3,0.5,21.07,13.7,12.9,9.8,20.7,20.8,8.559999999999999,21.240000000000002,32000.0,37250.0
Bawang Merah,2020-05-05,42500.0,Bukittinggi,5,2020,1,0,21.9,1.0,19.96,14.1,12.4,12.7,21.0,20.7,8.18,21.27,42500.0,37250.0
Bawang Merah,2020-05-06,42500.0,Bukittinggi,5,2020,2,0,21.8,1.0,10.07,8.2,17.8,3.3,21.0,21.5,7.620000000000001,21.296666666666667,42500.0,38500.0
Bawang Merah,2020-05-07,42500.0,Bukittinggi,5,2020,3,0,22.0,9.8,15.48,15.7,20.1,26.6,21.1,21.2,7.276666666666666,21.326666666666664,42500.0,38500.0
Bawang Merah,2020-05-08,45000.0,Bukittinggi,5,2020,4,0,20.9,2.0,7.77,15.0,5.6,23.9,21.3,21.0,7.156666666666666,21.313333333333333,42500.0,38500.0
Bawang Merah,2020-05-11,45000.0,Bukittinggi,5,2020,0,0,22.1,0.7,19.92,8.1,21.6,12.8,21.8,20.9,6.46,21.32333333333333,45000.0,38500.0
Bawang Merah,2020-05-12,46250.0,Bukittinggi,5,2020,1,0,22.2,2.6,19.37,9.0,2.0,10.5,21.2,20.7,6.48,21.35666666666667,45000.0,32000.0
Bawang Merah,2020-05-13,46250.0,Bukittinggi,5,2020,2,0,21.8,0.8,12.77,10.2,13.2,7.7,21.0,19.6,6.066666666666666,21.383333333333333,46250.0,42500.0
Bawang Merah,2020-05-14,43750.0,Bukittinggi,5,2020,3,0,21.5,25.4,15.23,8.5,8.4,3.1,21.6,20.8,6.633333333333334,21.38,46250.0,42500.0
Bawang Merah,2020-05-15,43750.0,Bukittinggi,5,2020,4,0,22.4,9.8,18.71,10.0,3.1,7.9,20.8,20.5,6.8566666666666665,21.433333333333334,43750.0,42500.0
